talent,job,label
"Talent({'French': Language(French,C2,False), 'Russian': Language(Russian,C1,False), 'German': Language(German,C1,False), 'English': Language(English,C1,False)},['sales-manager', 'key-account-manager', 'business-development-manager'],junior,50000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,C1,True)},['sales-manager'],[None, 'junior', 'midlevel'],70000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'French': Language(French,A1,False)},['frontend-developer', 'backend-developer', 'php-developer', 'scrum-master-agile-coach', 'consulting'],senior,58000,apprenticeship)","Job({'German': Language(German,C1,False), 'English': Language(English,C1,True)},['php-developer'],['midlevel', 'senior'],65000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False), 'Turkish': Language(Turkish,B2,False)},['full-stack-developer', 'java-developer', 'c-c-developer', 'qa-engineer', 'system-engineer'],midlevel,71000,bachelor)","Job({'German': Language(German,B2,True), 'English': Language(English,B2,True)},['c-c-developer', 'qa-engineer'],['junior', 'midlevel', 'senior'],70000,bachelor)",True
"Talent({'German': Language(German,C1,False), 'English': Language(English,B2,False)},['frontend-developer', 'full-stack-developer', 'mobile-developer'],midlevel,50000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'php-developer', 'software-architect'],midlevel,40000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False)},['sales-manager', 'sales-engineer', 'key-account-manager', 'customer-success-manager', 'business-development-manager'],junior,69000,master)","Job({'German': Language(German,C2,True), 'English': Language(English,C1,False)},['sales-manager', 'business-development-manager'],['junior'],65000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False), 'French': Language(French,C2,False)},['frontend-developer', 'ui-ux-designer', 'data-scientist', 'data-analyst', 'content-marketing-manager'],junior,40000,None)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'French': Language(French,A1,False)},['backend-developer', 'java-developer', 'c-c-developer', 'software-architect', 'consulting'],midlevel,50000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,C1,False)},['software-architect'],['midlevel'],90000,master)",True
"Talent({'German': Language(German,C1,False), 'Russian': Language(Russian,C2,False), 'English': Language(English,A1,False)},['backend-developer', 'c-net-developer', 'java-developer', 'mobile-developer'],senior,58000,master)","Job({'German': Language(German,C1,True)},['full-stack-developer', 'java-developer'],[None, 'junior', 'midlevel', 'senior'],82000,bachelor)",True
"Talent({'English': Language(English,C2,False), 'German': Language(German,C1,False)},['full-stack-developer', 'business-analyst', 'sales-manager', 'sales-engineer', 'cso-or-head-of-sales'],junior,60000,master)","Job({'German': Language(German,C1,True)},['full-stack-developer', 'java-developer'],[None, 'junior', 'midlevel', 'senior'],82000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False), 'French': Language(French,C1,False), 'Spanish': Language(Spanish,A2,False)},['cso-or-head-of-sales', 'sales-team-lead', 'sales-manager', 'key-account-manager', 'customer-success-manager'],midlevel,48000,bachelor)","Job({'German': Language(German,C2,True)},['key-account-manager', 'customer-success-manager'],['junior', 'midlevel', 'senior'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['backend-developer', 'php-developer'],senior,50000,None)","Job({'German': Language(German,C1,False), 'English': Language(English,C1,True)},['php-developer'],['midlevel', 'senior'],65000,None)",True
"Talent({'Chinese': Language(Chinese,B2,False), 'German': Language(German,C2,False), 'English': Language(English,C2,False)},['backend-developer', 'full-stack-developer', 'software-architect', 'qa-engineer', 'tech-lead'],midlevel,110000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,False)},['tech-lead', 'engineering-manager'],['midlevel', 'senior'],100000,None)",True
"Talent({'English': Language(English,C1,False), 'German': Language(German,C1,False)},['frontend-developer', 'full-stack-developer'],junior,50000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['full-stack-developer', 'java-developer', 'mobile-developer', 'software-architect', 'tech-lead'],senior,95000,master)","Job({'German': Language(German,B2,True), 'English': Language(English,B2,False)},['full-stack-developer'],['midlevel', 'senior'],90000,apprenticeship)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False)},['frontend-developer', 'full-stack-developer', 'cloud-engineer', 'consulting'],junior,62000,None)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B1,False), 'Polish': Language(Polish,B2,False)},['software-architect', 'data-engineer', 'data-analyst'],junior,50000,bachelor)","Job({'German': Language(German,C1,True)},['data-analyst'],['junior', 'midlevel', 'senior'],67000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False), 'French': Language(French,B1,False)},['product-manager', 'sales-manager', 'key-account-manager', 'customer-success-manager'],midlevel,38000,master)","Job({'German': Language(German,C2,True)},['key-account-manager', 'customer-success-manager'],['junior', 'midlevel', 'senior'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False), 'Turkish': Language(Turkish,C1,False), 'Spanish': Language(Spanish,A1,False)},['c-net-developer', 'java-developer', 'c-c-developer', 'software-architect', 'product-owner'],None,25000,bachelor)","Job({'German': Language(German,C1,True)},['full-stack-developer', 'java-developer'],[None, 'junior', 'midlevel', 'senior'],82000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['backend-developer', 'devops-engineer', 'cloud-engineer'],senior,80000,bachelor)","Job({'German': Language(German,C1,True)},['devops-engineer'],['midlevel', 'senior'],80000,apprenticeship)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['sales-manager', 'key-account-manager', 'customer-success-manager'],None,60000,bachelor)","Job({'German': Language(German,C2,True)},['sales-manager', 'presales-manager'],[None, 'junior'],54000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False)},['frontend-developer', 'backend-developer', 'qa-engineer', 'data-analyst', 'business-analyst'],midlevel,80000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,C1,False)},['backend-developer', 'full-stack-developer'],['midlevel'],80000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False)},['frontend-developer', 'product-manager', 'product-owner'],junior,52000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'mobile-developer', 'software-architect'],junior,60000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C1,False), 'English': Language(English,C1,False)},['frontend-developer'],midlevel,65000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C1,False), 'English': Language(English,B2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer'],midlevel,60000,None)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['midlevel'],70000,None)",True
"Talent({'English': Language(English,C1,False), 'German': Language(German,C2,False)},['backend-developer', 'devops-engineer', 'cloud-engineer'],senior,80000,bachelor)","Job({'German': Language(German,B1,True), 'English': Language(English,B1,True)},['frontend-developer', 'backend-developer', 'full-stack-developer'],['midlevel', 'senior'],75000,None)",True
"Talent({'English': Language(English,C2,False), 'German': Language(German,C2,False)},['online-marketing-manager', 'performance-marketing-manager', 'social-media-marketing-manager'],junior,55000,master)","Job({'German': Language(German,C2,True)},['online-marketing-manager', 'content-marketing-manager'],[None, 'junior'],50000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False)},['backend-developer', 'full-stack-developer', 'c-net-developer', 'devops-engineer', 'cloud-engineer'],senior,90000,bachelor)","Job({'German': Language(German,B2,True), 'English': Language(English,B2,False)},['full-stack-developer'],['midlevel', 'senior'],90000,apprenticeship)",True
"Talent({'German': Language(German,C1,False), 'English': Language(English,B2,False), 'Romanian': Language(Romanian,C2,False)},['backend-developer', 'java-developer'],midlevel,67000,bachelor)","Job({'German': Language(German,C1,True)},['full-stack-developer', 'java-developer'],[None, 'junior', 'midlevel', 'senior'],82000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['frontend-developer'],senior,80000,apprenticeship)","Job({'German': Language(German,B1,True), 'English': Language(English,B1,True)},['frontend-developer', 'backend-developer', 'full-stack-developer'],['midlevel', 'senior'],75000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'French': Language(French,B1,False)},['full-stack-developer', 'cto', 'system-engineer', 'product-manager', 'data-analyst'],senior,70000,None)","Job({'German': Language(German,C2,True)},['data-scientist', 'data-engineer', 'data-analyst'],['midlevel', 'senior'],65000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False), 'Spanish': Language(Spanish,A2,False)},['engineering-manager', 'sales-manager', 'sales-engineer', 'key-account-manager', 'business-development-manager'],junior,45000,None)","Job({'German': Language(German,C1,True)},['sales-manager'],['junior', 'midlevel', 'senior'],75000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'java-developer'],midlevel,25000,None)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['frontend-developer', 'software-architect'],midlevel,70000,bachelor)","Job({'German': Language(German,B1,True), 'English': Language(English,B1,True)},['frontend-developer', 'backend-developer', 'full-stack-developer'],['midlevel', 'senior'],75000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'java-developer', 'mobile-developer'],midlevel,63000,apprenticeship)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'English': Language(English,C1,False), 'French': Language(French,A2,False), 'German': Language(German,C2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer'],midlevel,60000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['full-stack-developer', 'c-net-developer', 'java-developer', 'mobile-developer', 'software-architect'],senior,72000,doctorate)","Job({'German': Language(German,B2,True), 'English': Language(English,B2,False)},['full-stack-developer'],['midlevel', 'senior'],90000,apprenticeship)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'Arabic': Language(Arabic,C2,False), 'Persian': Language(Persian,B1,False)},['cso-or-head-of-sales', 'sales-team-lead', 'sales-manager', 'key-account-manager', 'business-development-manager'],midlevel,78000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,C1,True)},['sales-manager'],[None, 'junior', 'midlevel'],70000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['consulting', 'sales-manager', 'key-account-manager', 'content-marketing-manager', 'social-media-marketing-manager'],junior,45000,bachelor)","Job({'German': Language(German,C2,True), 'English': Language(English,C1,False)},['sales-manager', 'business-development-manager'],['junior'],65000,bachelor)",True
"Talent({'English': Language(English,C2,False), 'French': Language(French,B2,False), 'German': Language(German,C2,False), 'Greek': Language(Greek,B1,False), 'Italian': Language(Italian,C2,False), 'Spanish': Language(Spanish,C2,False), 'Chinese': Language(Chinese,B1,False), 'Portuguese': Language(Portuguese,B2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'consulting'],midlevel,65000,doctorate)","Job({'German': Language(German,B1,True), 'English': Language(English,B1,True)},['frontend-developer', 'backend-developer', 'full-stack-developer'],['midlevel', 'senior'],75000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['product-manager', 'consulting', 'sales-manager', 'key-account-manager', 'online-marketing-manager'],senior,45000,apprenticeship)","Job({'German': Language(German,C2,True)},['key-account-manager', 'customer-success-manager'],['junior', 'midlevel', 'senior'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['frontend-developer', 'backend-developer', 'php-developer', '1st-2nd-3rd-level-support'],midlevel,45000,apprenticeship)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['full-stack-developer', 'mobile-developer', 'qa-engineer', 'data-scientist', 'data-analyst'],junior,63000,master)","Job({'German': Language(German,B2,True), 'English': Language(English,B2,True)},['c-c-developer', 'qa-engineer'],['junior', 'midlevel', 'senior'],70000,bachelor)",True
"Talent({'English': Language(English,C2,False), 'German': Language(German,B1,False), 'Hindi': Language(Hindi,C2,False)},['product-manager', 'product-owner', 'data-scientist', 'machine-learning-engineer', 'data-analyst'],senior,75000,master)","Job({'English': Language(English,C1,False), 'German': Language(German,B1,False)},['product-owner'],['junior', 'midlevel', 'senior'],75000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['product-manager', 'sales-manager', 'key-account-manager', 'customer-success-manager'],junior,39000,apprenticeship)","Job({'German': Language(German,C2,True)},['key-account-manager', 'customer-success-manager'],['junior', 'midlevel', 'senior'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B1,False), 'Russian': Language(Russian,A2,False)},['cpo-or-head-of-product', 'cso-or-head-of-sales', 'sales-team-lead', 'key-account-manager'],senior,65000,apprenticeship)","Job({'German': Language(German,C2,True)},['key-account-manager', 'customer-success-manager'],['junior', 'midlevel', 'senior'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['full-stack-developer', 'software-architect', 'system-engineer', 'security', 'consulting'],midlevel,60000,master)","Job({'German': Language(German,B2,True), 'English': Language(English,B2,False)},['full-stack-developer'],['midlevel'],90000,apprenticeship)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False), 'Spanish': Language(Spanish,A2,False)},['product-manager', 'sales-manager', 'key-account-manager', 'customer-success-manager', 'business-development-manager'],junior,35000,bachelor)","Job({'German': Language(German,C2,True)},['sales-manager', 'presales-manager'],[None, 'junior'],54000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'php-developer'],midlevel,47000,apprenticeship)","Job({'German': Language(German,B1,True), 'English': Language(English,B1,True)},['frontend-developer', 'backend-developer', 'full-stack-developer'],['midlevel', 'senior'],75000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'mobile-developer'],junior,50000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'Spanish': Language(Spanish,B2,False), 'French': Language(French,B1,False)},['software-architect', 'tech-lead'],senior,105000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,False)},['tech-lead', 'engineering-manager'],['midlevel', 'senior'],100000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B1,False)},['graphic-designer', 'online-marketing-manager', 'performance-marketing-manager', 'content-marketing-manager', 'social-media-marketing-manager'],junior,40000,apprenticeship)","Job({'German': Language(German,C2,True)},['online-marketing-manager', 'content-marketing-manager'],[None, 'junior'],50000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['sales-manager', 'key-account-manager', 'online-marketing-manager', 'content-marketing-manager', 'social-media-marketing-manager'],junior,35000,bachelor)","Job({'German': Language(German,C2,True)},['online-marketing-manager', 'content-marketing-manager'],[None, 'junior'],50000,None)",True
"Talent({'English': Language(English,C2,False), 'German': Language(German,C1,False)},['backend-developer', 'software-architect', 'cloud-engineer', 'tech-lead', 'consulting'],senior,85000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B1,False)},['devops-engineer', 'system-engineer', 'cloud-engineer'],['midlevel', 'senior'],81000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'Turkish': Language(Turkish,C1,False)},['frontend-developer', 'ui-ux-designer'],midlevel,65000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False), 'French': Language(French,B1,False)},['cto', 'consulting'],senior,80000,None)","Job({'German': Language(German,C2,True)},['consulting'],['midlevel', 'senior'],75000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False), 'French': Language(French,C1,False)},['sales-team-lead', 'sales-manager', 'key-account-manager'],senior,80000,master)","Job({'German': Language(German,C2,True)},['key-account-manager', 'customer-success-manager'],['junior', 'midlevel', 'senior'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'Spanish': Language(Spanish,A2,False), 'French': Language(French,A1,False)},['sales-manager', 'sales-team-lead'],junior,27000,bachelor)","Job({'German': Language(German,C2,True)},['sales-manager', 'presales-manager'],[None, 'junior'],54000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False), 'Portuguese': Language(Portuguese,C2,False), 'Spanish': Language(Spanish,B2,False), 'Italian': Language(Italian,B2,False)},['backend-developer', 'frontend-developer', 'full-stack-developer', 'java-developer'],midlevel,68000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'java-developer', 'consulting'],junior,55000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['frontend-developer', 'full-stack-developer', 'c-net-developer', 'mobile-developer', 'software-architect'],junior,65000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'Arabic': Language(Arabic,C2,False), 'German': Language(German,C1,False), 'English': Language(English,B2,False), 'French': Language(French,C1,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'java-developer'],junior,64000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['frontend-developer', 'full-stack-developer'],junior,38000,None)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,False)},['frontend-developer'],['junior'],54000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False), 'French': Language(French,A2,False), 'Italian': Language(Italian,A2,False), 'Spanish': Language(Spanish,C2,False)},['system-administrator', 'database-administrator', 'product-manager', 'product-owner', 'consulting'],midlevel,80000,apprenticeship)","Job({'German': Language(German,C2,False), 'English': Language(English,C2,False)},['system-administrator'],['midlevel', 'senior'],70000,None)",True
"Talent({'English': Language(English,C2,False), 'German': Language(German,A2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'php-developer'],senior,55000,master)","Job({'German': Language(German,C1,False), 'English': Language(English,C1,True)},['php-developer'],['midlevel', 'senior'],65000,None)",True
"Talent({'German': Language(German,C1,False), 'English': Language(English,B1,False)},['frontend-developer'],midlevel,60000,None)","Job({'German': Language(German,B1,True), 'English': Language(English,B1,True)},['frontend-developer', 'backend-developer', 'full-stack-developer'],['midlevel', 'senior'],75000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['sales-team-lead', 'sales-manager', 'key-account-manager'],midlevel,55000,apprenticeship)","Job({'German': Language(German,C2,True)},['key-account-manager', 'customer-success-manager'],['junior', 'midlevel', 'senior'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False), 'French': Language(French,A2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'data-scientist', 'machine-learning-engineer'],midlevel,40000,None)","Job({'German': Language(German,C2,True)},['data-scientist', 'data-engineer', 'data-analyst'],['midlevel', 'senior'],65000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'php-developer'],midlevel,40000,apprenticeship)","Job({'German': Language(German,B2,True), 'English': Language(English,B2,False)},['full-stack-developer'],['midlevel'],90000,apprenticeship)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['backend-developer', 'php-developer', 'software-architect', 'tech-lead'],senior,90000,None)","Job({'German': Language(German,C1,True), 'English': Language(English,C1,True)},['php-developer'],['midlevel', 'senior'],80000,None)",True
"Talent({'English': Language(English,C1,False), 'German': Language(German,C2,False), 'Russian': Language(Russian,C2,False), 'Spanish': Language(Spanish,A2,False)},['data-scientist', 'machine-learning-engineer'],midlevel,70000,master)","Job({'German': Language(German,C2,True)},['data-scientist', 'data-engineer', 'data-analyst'],['midlevel', 'senior'],65000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'French': Language(French,C1,False)},['frontend-developer', 'full-stack-developer', 'c-net-developer', 'c-c-developer'],midlevel,70000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['frontend-developer', 'backend-developer', 'c-net-developer', 'php-developer', 'mobile-developer'],junior,55000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'Spanish': Language(Spanish,A1,False)},['product-manager', 'business-analyst', 'cpo-or-head-of-product', 'consulting'],senior,80000,master)","Job({'German': Language(German,C2,True)},['consulting'],['midlevel', 'senior'],75000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['frontend-developer', 'full-stack-developer'],midlevel,52000,master)","Job({'German': Language(German,B2,True), 'English': Language(English,B2,False)},['full-stack-developer'],['midlevel', 'senior'],90000,apprenticeship)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False)},['frontend-developer', 'full-stack-developer', 'mobile-developer', 'ui-ux-designer'],midlevel,50000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False), 'Croatian': Language(Croatian,C2,False)},['software-architect', 'qa-engineer', 'data-scientist', 'machine-learning-engineer', 'security'],midlevel,87000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,C1,False)},['software-architect'],['midlevel'],90000,master)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['sales-manager', 'key-account-manager', 'online-marketing-manager', 'content-marketing-manager', 'social-media-marketing-manager'],junior,47000,bachelor)","Job({'German': Language(German,C2,True)},['online-marketing-manager', 'content-marketing-manager'],[None, 'junior'],50000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False), 'Turkish': Language(Turkish,B2,False), 'Spanish': Language(Spanish,A2,False)},['product-manager', 'product-owner', 'cto', 'tech-lead', 'engineering-manager'],midlevel,78000,master)","Job({'English': Language(English,C1,False), 'German': Language(German,B1,False)},['product-owner'],['junior', 'midlevel', 'senior'],80000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B2,False)},['frontend-developer'],junior,48000,apprenticeship)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
